JOB_ID,PLATFORM,DEPARTURE_DATE,DEPARTURE_AIRPORT,DESTINATION_AIRPORT,MARKETING_AIRLINE,FLIGHT_CODE,CABIN_CLASS,DEPARTURE_TIME,ARRIVAL_TIME,TRANSIT,TRANSIT_INFO,FLIGHT_DURATION,RATES
70,BOOKING.COM,2023-08-09,CGK,BHX,"GA, LX","SQ965, LH779, LH952","FIRST CLASS, BUSINESS",19:00:00,08:25:00,2,"CGK, SIN, ZRH, BHX",19H 25M,162541441.44
70,BOOKING.COM,2023-08-09,CGK,BHX,AF,"AF3926, AF257, AF1164","FIRST CLASS, BUSINESS",15:30:00,09:50:00,2,"CGK, SIN, CDG, BHX",24H 20M,139981981.98
70,BOOKING.COM,2023-08-09,CGK,BHX,"AF, GA","GA836, AF257, AF1164","FIRST CLASS, BUSINESS",15:30:00,09:50:00,2,"CGK, SIN, CDG, BHX",24H 20M,140518018.02
70,BOOKING.COM,2023-08-09,CGK,BHX,"GA, LH","GA836, LH779, LH956","FIRST CLASS, BUSINESS",15:30:00,17:15:00,2,"CGK, SIN, FRA, BHX",31H 45M,115247747.75
70,BOOKING.COM,2023-08-09,CGK,BHX,"AF, GA","GA822, AF257, AF1314","FIRST CLASS, BUSINESS",18:40:00,13:10:00,2,"CGK, SIN, CDG, BHX",24H 30M,140518018.02
70,BOOKING.COM,2023-08-09,CGK,BHX,"GA, LX","GA836, LX177, LX424","FIRST CLASS, BUSINESS",15:30:00,18:10:00,2,"CGK, SIN, ZRH, BHX",32H 40M,114788288.29
70,BOOKING.COM,2023-08-09,CGK,BHX,"AF, GA","GA822, AF257, AF1314","FIRST CLASS, BUSINESS",18:05:00,13:10:00,2,"CGK, SIN, ZRH, BHX",25H 05M,139981981.98
70,BOOKING.COM,2023-08-09,CGK,BHX,"AF, SQ","SQ963, AF257, AF1314","ECONOMY, FIRST CLASS, BUSINESS",14:20:00,17:15:00,2,"CGK, SIN, CDG, BHX",32H 55M,115416216.22
70,BOOKING.COM,2023-08-09,CGK,BHX,LH,"LH9795, LH9765, LH958","FIRST CLASS, BUSINESS",19:00:00,22:25:00,2,"CGK, SIN, FRA, BHX",33H 25M,114635135.14
70,BOOKING.COM,2023-08-09,CGK,BHX,LH,"LH9795, LH779, LH958","FIRST CLASS, BUSINESS",19:00:00,22:25:00,2,"CGK, SIN, FRA, BHX",33H 25M,114681081.08
70,BOOKING.COM,2023-08-09,CGK,BHX,"LX, CX","CX776, LX139, LX424","FIRST CLASS, BUSINESS",14:20:00,18:10:00,2,"CGK, HKG, ZRH, BHX",33H 50M,114727027.03
