JOB_ID,PLATFORM,DEPARTURE_DATE,DEPARTURE_AIRPORT,DESTINATION_AIRPORT,MARKETING_AIRLINE,FLIGHT_CODE,CABIN_CLASS,DEPARTURE_TIME,ARRIVAL_TIME,TRANSIT,TRANSIT_INFO,FLIGHT_DURATION,RATES,DEPARTURE-DATE
1,BOOKING.COM,,CGK,JFK,AMERICAN AIRLINES,"GA876, CX830",ECONOMY,01:20:00,13:15:00,1,"CGK, HKG, JFK",22H 55M,79307692.31,2023-08-09
1,BOOKING.COM,,CGK,JFK,AMERICAN AIRLINES,"EY8133, EY473, EY101",BUSINESS,11:45:00,16:00:00,2,"CGK, SIN, AUH, JFK",39H 15M,48553846.15,2023-08-09
1,BOOKING.COM,,CGK,JFK,AMERICAN AIRLINES,"AA8918, AA8966, AA8496","BUSINESS, ECONOMY",00:05:00,18:35:00,2,"CGK, HKG, NRT, JFK",29H 30M,60153092.01,2023-08-09
1,BOOKING.COM,,CGK,JFK,AMERICAN AIRLINES,"AA8918, AA8880, AA8496","BUSINESS, ECONOMY",00:05:00,18:35:00,2,"CGK, HKG, NRT, JFK",29H 30M,60153092.01,2023-08-09
1,BOOKING.COM,,CGK,JFK,AMERICAN AIRLINES,"MH5894, MH78, MH9210",ECONOMY,13:40:00,06:00:00,2,"CGK, KUL, HKG, JFK",27H 20M,64400000.0,2023-08-09
1,BOOKING.COM,,CGK,JFK,AMERICAN AIRLINES,"QR957, QR3, QR2240",ECONOMY,18:45:00,22:49:00,2,"CGK, DOH, LHR, JFK",39H 04M,49707692.31,2023-08-09
1,BOOKING.COM,,CGK,JFK,AMERICAN AIRLINES,"QR959, QR327, QR2233",ECONOMY,09:05:00,13:24:00,2,"CGK, DOH, LGW, JFK",63H 19M,34723076.92,2023-08-09
1,BOOKING.COM,,CGK,JFK,AMERICAN AIRLINES,"MH710, MH78, MH9210",ECONOMY,11:10:00,06:00:00,2,"CGK, KUL, HKG, JFK",29H 50M,61446153.85,2023-08-09
1,BOOKING.COM,,CGK,JFK,AMERICAN AIRLINES,"SQ951, SQ24",BUSINESS,05:25:00,18:50:00,1,"CGK, SIN, JFK",24H 25M,79292307.69,2023-08-09
1,BOOKING.COM,,CGK,JFK,AMERICAN AIRLINES,"TK57, TK11",BUSINESS,21:00:00,22:50:00,1,"CGK, IST, JFK",36H 50M,59323076.92,2023-08-09
1,BOOKING.COM,,CGK,JFK,AMERICAN AIRLINES,"AA8153, AA8139, AA2246","BUSINESS, FIRST CLASS",09:05:00,17:25:00,2,"CGK, DOH, DFW, JFK",43H 20M,48822322.78,2023-08-09
1,BOOKING.COM,,CGK,JFK,AMERICAN AIRLINES,"CX776, LH797, LH400",ECONOMY,14:20:00,13:45:00,2,"CGK, HKG, FRA, JFK",34H 25M,59815384.62,2023-08-09
1,BOOKING.COM,,CGK,JFK,AMERICAN AIRLINES,"AA8153, AA8139, AA820","BUSINESS, FIRST CLASS",09:05:00,19:29:00,2,"CGK, DOH, DFW, JFK",45H 24M,48822322.78,2023-08-09
1,BOOKING.COM,,CGK,JFK,AMERICAN AIRLINES,"AA8497, AA8409, AA276",BUSINESS,06:35:00,07:01:00,2,"CGK, NRT, SFO, JFK",35H 26M,59845399.7,2023-08-09
1,BOOKING.COM,,CGK,JFK,SINGAPORE AIRLINES,"SQ951, SQ32, SQ1432",BUSINESS,05:25:00,22:59:00,2,"CGK, SIN, SFO, JFK",28H 34M,90384615.38,2023-08-09
1,BOOKING.COM,,CGK,JFK,SINGAPORE AIRLINES,"SQ959, SQ24",BUSINESS,14:10:00,18:50:00,1,"CGK, SIN, JFK",39H 40M,79292307.69,2023-08-09
1,BOOKING.COM,,CGK,JFK,SINGAPORE AIRLINES,"GA876, CX840","PREMIUM ECONOMY, ECONOMY",01:20:00,20:25:00,1,"CGK, HKG, JFK",30H 05M,99246153.85,2023-08-09
1,BOOKING.COM,,CGK,JFK,SINGAPORE AIRLINES,"AA8497, AA8408, AA10",BUSINESS,06:35:00,05:23:00,2,"CGK, NRT, LAX, JFK",33H 48M,82860784.31,2023-08-09
1,BOOKING.COM,,CGK,JFK,SINGAPORE AIRLINES,"GA836, QR947, QR9001",BUSINESS,15:30:00,08:50:00,2,"CGK, SIN, DOH, JFK",28H 20M,96492307.69,2023-08-09
1,BOOKING.COM,,CGK,JFK,SINGAPORE AIRLINES,"MH710, MH9202, MH9210",ECONOMY,11:10:00,06:00:00,2,"CGK, KUL, HKG, JFK",29H 50M,92830769.23,2023-08-09
1,BOOKING.COM,,CGK,JFK,SINGAPORE AIRLINES,"LX9069, LX177, LX14",BUSINESS,19:00:00,16:15:00,2,"CGK, SIN, ZRH, JFK",32H 15M,90030769.23,2023-08-09
1,BOOKING.COM,,CGK,JFK,SINGAPORE AIRLINES,"AA8497, AA8408, AA28",BUSINESS,06:35:00,08:24:00,2,"CGK, NRT, LAX, JFK",36H 49M,82860784.31,2023-08-09
1,BOOKING.COM,,CGK,JFK,SINGAPORE AIRLINES,"GA834, QR947, QR9001",BUSINESS,13:40:00,08:50:00,2,"CGK, SIN, DOH, JFK",30H 10M,96492307.69,2023-08-09
1,BOOKING.COM,,CGK,JFK,SINGAPORE AIRLINES,"3K202, CX716, CX844","PREMIUM ECONOMY, ECONOMY",09:40:00,06:00:00,2,"CGK, SIN, HKG, JFK",31H 20M,94030769.23,2023-08-09
1,BOOKING.COM,,CGK,JFK,SINGAPORE AIRLINES,"JL726, JL62, JL7514",BUSINESS,21:55:00,00:23:00,2,"CGK, NRT, LAX, JFK",37H 28M,82630769.23,2023-08-09
1,BOOKING.COM,,CGK,JFK,SINGAPORE AIRLINES,"SQ8591, SQ24","BUSINESS, ECONOMY",11:50:00,18:50:00,1,"CGK, SIN, JFK",42H 00M,85153846.15,2023-08-09
1,BOOKING.COM,,CGK,JFK,SINGAPORE AIRLINES,"CI764, CI909, CX840","PREMIUM ECONOMY, ECONOMY",01:00:00,20:25:00,2,"CGK, TPE, HKG, JFK",30H 25M,99569230.77,2023-08-09
1,BOOKING.COM,,CGK,JFK,SINGAPORE AIRLINES,"CI764, CX489, CX840","PREMIUM ECONOMY, ECONOMY",01:00:00,20:25:00,2,"CGK, TPE, HKG, JFK",30H 25M,99615384.62,2023-08-09
1,BOOKING.COM,,CGK,JFK,SINGAPORE AIRLINES,"CI764, CX495, CX840","PREMIUM ECONOMY, ECONOMY",01:00:00,20:25:00,2,"CGK, TPE, HKG, JFK",30H 25M,99615384.62,2023-08-09
