JOB_ID,PLATFORM,DATE,DEPARTURE_AIRPORT,DESTINATION_AIRPORT,FLIGHT_MARKETING,FLIGHT_CODE,CABIN_CLASS,DEPARTURE_TIME,ARRIVAL_TIME,TRANSIT,TRANSIT_INFO,FLIGHT_DURATION,RATES
1,BOOKING.COM,2023-08-09,CGK,JFK,"TransNusa Aviation, Turkish Airlines","EK357, EK203",ECONOMY,17:40:00,08:50:00,1,"CGK, DXB, JFK",26H 10M,21526475.04
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Emirates Airline","QZ204, EK347, EK203",ECONOMY,10:45:00,08:50:00,2,"CGK, KUL, DXB, JFK",33H 05M,19458698.94
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Emirates Airline","MH720, MH160, MH9065",ECONOMY,16:05:00,15:20:00,2,"CGK, KUL, DOH, JFK",34H 15M,19042057.49
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Emirates Airline","AK385, MH160, MH9065",ECONOMY,14:50:00,15:20:00,2,"CGK, KUL, DOH, JFK",35H 30M,18594553.71
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Emirates Airline","HY542, HY101",ECONOMY,21:00:00,10:55:00,1,"CGK, TAS, JFK",24H 55M,26935854.77
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Emirates Airline","TG436, TG910, Z0701",ECONOMY,19:00:00,15:50:00,2,"CGK, BKK, LHR, JFK",31H 50M,20508018.15
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Emirates Airline","MH720, EK343, EK201",ECONOMY,16:05:00,14:25:00,2,"CGK, KUL, DXB, JFK",33H 20M,19875340.39
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Emirates Airline","MH720, EK343, EK201",ECONOMY,00:40:00,18:55:00,1,"CGK, KUL, DXB, JFK",29H 15M,24288653.56
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Emirates Airline","MH722, MH164, MH9065",ECONOMY,18:25:00,15:20:00,2,"CGK, KUL, DOH, JFK",31H 55M,20600605.14
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Emirates Airline","EK357, EK7, Z0701",ECONOMY,17:40:00,15:50:00,2,"CGK, DXB, LHR, JFK",33H 10M,20338275.34
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Emirates Airline","AK381, EK347, EK203",ECONOMY,08:35:00,08:50:00,2,"CGK, KUL, DXB, JFK",35H 15M,19458698.94
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Emirates Airline","EK357, EK11, Z0701",ECONOMY,17:40:00,15:50:00,2,"CGK, DXB, LGW, JFK",33H 10M,20523449.32
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Emirates Airline","QR959, QR705",ECONOMY,09:05:00,22:30:00,1,"CGK, DOH, JFK",24H 25M,28840847.2
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Emirates Airline","QR959, QR705",ECONOMY,09:05:00,22:30:00,1,"CGK, DOH, JFK",24H 25M,28920423.6
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Emirates Airline","EK357, EK205",ECONOMY,17:40:00,18:55:00,1,"CGK, DXB, JFK",36H 15M,21526475.04
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Emirates Airline","MH722, EK343, EK205",ECONOMY,18:25:00,18:55:00,2,"CGK, KUL, DXB, JFK",35H 30M,19875340.39
