JOB_ID,PLATFORM,DEPARTURE_DATE,DEPARTURE_AIRPORT,DESTINATION_AIRPORT,MARKETING_AIRLINE,FLIGHT_CODE,CABIN_CLASS,DEPARTURE_TIME,ARRIVAL_TIME,TRANSIT,TRANSIT_INFO,FLIGHT_DURATION,RATES
40,BOOKING.COM,2023-08-09,SIN,CGK,ID,ID7156,ECONOMY,14:25:00,15:10:00,0,NONE,1H 45M,1189237.67
40,BOOKING.COM,2023-08-09,SIN,CGK,ID,ID7154,ECONOMY,11:25:00,12:15:00,0,NONE,1H 50M,1189237.67
40,BOOKING.COM,2023-08-09,SIN,CGK,ID,ID7152,ECONOMY,21:20:00,22:10:00,0,NONE,1H 50M,1189237.67
40,BOOKING.COM,2023-08-09,SIN,CGK,QZ,QZ265,ECONOMY,14:25:00,15:10:00,0,NONE,1H 45M,1067264.57
40,BOOKING.COM,2023-08-09,SIN,CGK,ID,ID7158,ECONOMY,22:05:00,22:55:00,0,NONE,1H 50M,1189237.67
40,BOOKING.COM,2023-08-09,SIN,CGK,TR,TR278,ECONOMY,18:15:00,19:10:00,0,NONE,1H 55M,1280717.49
40,BOOKING.COM,2023-08-09,SIN,CGK,ID,ID7150,ECONOMY,17:30:00,18:20:00,0,NONE,1H 50M,1280717.49
40,BOOKING.COM,2023-08-09,SIN,CGK,QZ,QZ261,ECONOMY,19:35:00,20:20:00,0,NONE,1H 45M,1067264.57
40,BOOKING.COM,2023-08-09,SIN,CGK,QZ,QZ267,ECONOMY,12:00:00,12:45:00,0,NONE,1H 45M,1173991.03
40,BOOKING.COM,2023-08-09,SIN,CGK,QZ,QZ275,ECONOMY,23:50:00,00:50:00,0,NONE,2H 00M,1067264.57
40,BOOKING.COM,2023-08-09,SIN,CGK,QZ,QZ269,ECONOMY,22:00:00,23:00:00,0,NONE,2H 00M,1067264.57
40,BOOKING.COM,2023-08-09,SIN,CGK,QZ,QZ263,ECONOMY,10:25:00,11:25:00,0,NONE,2H 00M,1173991.03
40,BOOKING.COM,2023-08-09,SIN,CGK,KL,KL837,ECONOMY,17:00:00,17:45:00,0,NONE,1H 45M,1387443.95
40,BOOKING.COM,2023-08-09,SIN,CGK,QG,QG527,ECONOMY,21:00:00,21:50:00,0,NONE,1H 50M,1555156.95
40,BOOKING.COM,2023-08-09,SIN,CGK,TR,TR276,ECONOMY,10:20:00,11:05:00,0,NONE,1H 45M,1707623.32
40,BOOKING.COM,2023-08-09,SIN,CGK,TR,TR276,ECONOMY,09:55:00,10:35:00,0,NONE,1H 40M,1768609.87
40,BOOKING.COM,2023-08-09,SIN,CGK,3K,3K201,ECONOMY,07:50:00,09:00:00,0,NONE,2H 10M,1539910.31
40,BOOKING.COM,2023-08-09,SIN,CGK,SQ,SQ950,ECONOMY,06:20:00,07:05:00,0,NONE,1H 45M,2988340.81
40,BOOKING.COM,2023-08-09,SIN,CGK,GA,GA837,ECONOMY,18:45:00,19:45:00,0,NONE,2H 00M,3720179.37
40,BOOKING.COM,2023-08-09,SIN,CGK,GA,GA829,ECONOMY,12:20:00,13:20:00,0,NONE,2H 00M,3720179.37
40,BOOKING.COM,2023-08-09,SIN,CGK,QG,QG527,ECONOMY,21:00:00,21:50:00,0,NONE,1H 50M,3521973.09
40,BOOKING.COM,2023-08-09,SIN,CGK,GA,GA835,ECONOMY,17:40:00,18:40:00,0,NONE,2H 00M,3720179.37
40,BOOKING.COM,2023-08-09,SIN,CGK,GA,GA833,ECONOMY,15:40:00,16:45:00,0,NONE,2H 05M,3720179.37
40,BOOKING.COM,2023-08-09,SIN,CGK,H1,H15444,ECONOMY,09:55:00,10:35:00,0,NONE,1H 40M,3521973.09
40,BOOKING.COM,2023-08-09,SIN,CGK,SQ,SQ968,ECONOMY,21:55:00,22:40:00,0,NONE,1H 45M,4040358.74
40,BOOKING.COM,2023-08-09,SIN,CGK,SQ,SQ964,ECONOMY,17:20:00,18:05:00,0,NONE,1H 45M,4040358.74
40,BOOKING.COM,2023-08-09,SIN,CGK,GA,GA823,ECONOMY,07:25:00,08:25:00,0,NONE,2H 00M,3720179.37
40,BOOKING.COM,2023-08-09,SIN,CGK,SQ,SQ958,ECONOMY,12:30:00,13:15:00,0,NONE,1H 45M,4513004.48
40,BOOKING.COM,2023-08-09,SIN,CGK,SQ,SQ956,ECONOMY,09:15:00,10:10:00,0,NONE,1H 55M,4513004.48
40,BOOKING.COM,2023-08-09,SIN,CGK,SQ,SQ962,ECONOMY,16:25:00,17:10:00,0,NONE,1H 45M,5275336.32
40,BOOKING.COM,2023-08-09,SIN,CGK,GA,GA8950,ECONOMY,06:20:00,07:05:00,0,NONE,1H 45M,6708520.18
40,BOOKING.COM,2023-08-09,SIN,CGK,GA,GA8968,ECONOMY,21:55:00,22:40:00,0,NONE,1H 45M,8766816.14
40,BOOKING.COM,2023-08-09,SIN,CGK,GA,GA8964,ECONOMY,17:20:00,18:05:00,0,NONE,1H 45M,8766816.14
40,BOOKING.COM,2023-08-09,SIN,CGK,GA,GA8962,ECONOMY,16:25:00,17:10:00,0,NONE,1H 45M,8766816.14
40,BOOKING.COM,2023-08-09,SIN,CGK,GA,GA8958,ECONOMY,12:30:00,13:15:00,0,NONE,1H 45M,8766816.14
41,BOOKING.COM,2023-08-09,SIN,JFK,SQ,SQ26,PREMIUM ECONOMY,23:55:00,11:10:00,0,NONE,23H 15M,49521076.23
41,BOOKING.COM,2023-08-09,SIN,JFK,SQ,SQ24,BUSINESS,12:10:00,18:50:00,0,NONE,18H 40M,84008968.61
42,BOOKING.COM,2023-08-09,CGK,JFK,EK,"EK357, EK203",ECONOMY,17:40:00,08:50:00,1,"CGK, DXB, JFK",26H 10M,21436771.3
42,BOOKING.COM,2023-08-09,CGK,JFK,HY,"HY542, HY101",ECONOMY,21:00:00,10:55:00,1,"CGK, TAS, JFK",24H 55M,27007174.89
42,BOOKING.COM,2023-08-09,CGK,JFK,TK,"TK57, TK3",ECONOMY,21:00:00,11:20:00,1,"CGK, IST, JFK",25H 20M,21726457.4
42,BOOKING.COM,2023-08-09,CGK,JFK,EK,"EK359, EK201",ECONOMY,00:40:00,14:25:00,1,"CGK, DXB, JFK",24H 45M,21436771.3
42,BOOKING.COM,2023-08-09,CGK,JFK,"EK, MH","MH722, EK343, EK201",ECONOMY,18:25:00,14:25:00,2,"CGK, KUL, DXB, JFK",31H 00M,19774887.89
42,BOOKING.COM,2023-08-09,CGK,JFK,TK,"TK57, TK111",ECONOMY,21:00:00,04:30:00,1,"CGK, IST, JFK",42H 30M,21726457.4
42,BOOKING.COM,2023-08-09,CGK,JFK,"EK, MH","MH710, EK347, EK203",ECONOMY,11:10:00,08:50:00,2,"CGK, KUL, DXB, JFK",32H 40M,18722869.96
42,BOOKING.COM,2023-08-09,CGK,JFK,"EK, MH","MH710, EK347, EK203",ECONOMY,17:40:00,14:25:00,1,"CGK, KUL, DXB, JFK",31H 45M,24181165.92
42,BOOKING.COM,2023-08-09,CGK,JFK,OZ,"OZ762, OZ222",ECONOMY,21:50:00,11:05:00,1,"CGK, ICN, JFK",24H 15M,34670852.02
42,BOOKING.COM,2023-08-09,CGK,JFK,"EK, MH","MH720, EK343, EK201",ECONOMY,16:05:00,14:25:00,2,"CGK, KUL, DXB, JFK",33H 20M,19774887.89
42,BOOKING.COM,2023-08-09,CGK,JFK,"EK, MH","MH722, EK343, EK203",ECONOMY,18:25:00,08:50:00,2,"CGK, KUL, DXB, JFK",49H 25M,18722869.96
42,BOOKING.COM,2023-08-09,CGK,JFK,EY,"EY475, EY103",BUSINESS,17:05:00,09:30:00,1,"CGK, AUH, JFK",27H 25M,32765022.42
42,BOOKING.COM,2023-08-09,CGK,JFK,"EK, MH","MH726, EK345, EK203",ECONOMY,04:15:00,08:50:00,2,"CGK, KUL, DXB, JFK",39H 35M,18646636.77
42,BOOKING.COM,2023-08-09,CGK,JFK,"EK, MH","MH726, EK347, EK203",ECONOMY,04:15:00,08:50:00,2,"CGK, KUL, DXB, JFK",39H 35M,18646636.77
42,BOOKING.COM,2023-08-09,CGK,JFK,"EK, MH","MH722, EK343, EK205",ECONOMY,18:25:00,18:55:00,2,"CGK, KUL, DXB, JFK",35H 30M,19866367.71
42,BOOKING.COM,2023-08-09,CGK,JFK,"EK, MH","MH722, EK345, EK203",ECONOMY,18:25:00,08:50:00,2,"CGK, KUL, DXB, JFK",49H 25M,20095067.26
42,BOOKING.COM,2023-08-09,CGK,JFK,JL,"JL726, JL7018, JL7514","PREMIUM ECONOMY, ECONOMY",21:55:00,00:23:00,2,"CGK, HND, LAX, JFK",37H 28M,19073542.6
42,BOOKING.COM,2023-08-09,CGK,JFK,TK,"TK57, TK11",ECONOMY,21:00:00,22:50:00,1,"CGK, IST, JFK",36H 50M,21726457.4
42,BOOKING.COM,2023-08-09,CGK,JFK,"EK, MH","MH720, EK343, EK203",ECONOMY,16:05:00,08:50:00,2,"CGK, KUL, DXB, JFK",51H 45M,18722869.96
