JOB_ID,PLATFORM,DATE,DEPARTURE_AIRPORT,DESTINATION_AIRPORT,FLIGHT_CODE,CABIN_CLASS,DEPARTURE_TIME,ARRIVAL_TIME,TRANSIT,TRANSIT_INFO,FLIGHT_DURATION,RATES
1,BOOKING.COM,2023-08-09,SIN,CGK,QZ267,ECONOMY,12:00:00,12:45:00,0,NONE,1H 45M,1069604.86
1,BOOKING.COM,2023-08-09,SIN,CGK,QZ265,ECONOMY,14:25:00,15:10:00,0,NONE,1H 45M,1069604.86
1,BOOKING.COM,2023-08-09,SIN,CGK,QZ261,ECONOMY,19:35:00,20:20:00,0,NONE,1H 45M,1069604.86
1,BOOKING.COM,2023-08-09,SIN,CGK,QZ263,ECONOMY,10:25:00,11:25:00,0,NONE,2H 00M,1069604.86
1,BOOKING.COM,2023-08-09,SIN,CGK,QZ269,ECONOMY,22:00:00,23:00:00,0,NONE,2H 00M,1069604.86
1,BOOKING.COM,2023-08-09,SIN,CGK,QZ275,ECONOMY,23:50:00,00:50:00,0,NONE,2H 00M,1069604.86
1,BOOKING.COM,2023-08-09,SIN,CGK,ID7156,ECONOMY,14:25:00,15:10:00,0,NONE,1H 45M,1286626.14
1,BOOKING.COM,2023-08-09,SIN,CGK,ID7152,ECONOMY,21:20:00,22:10:00,0,NONE,1H 50M,1286626.14
1,BOOKING.COM,2023-08-09,SIN,CGK,ID7152,ECONOMY,22:05:00,22:55:00,0,NONE,1H 50M,1286626.14
1,BOOKING.COM,2023-08-09,SIN,CGK,TR278,ECONOMY,18:15:00,19:10:00,0,NONE,1H 55M,1286626.14
1,BOOKING.COM,2023-08-09,SIN,CGK,KL837,ECONOMY,17:00:00,17:45:00,0,NONE,1H 45M,1674164.13
1,BOOKING.COM,2023-08-09,SIN,CGK,TR276,ECONOMY,10:20:00,11:05:00,0,NONE,1H 45M,1705167.17
1,BOOKING.COM,2023-08-09,SIN,CGK,ID7154,ECONOMY,11:25:00,12:15:00,0,NONE,1H 50M,1751671.73
1,BOOKING.COM,2023-08-09,SIN,CGK,ID7150,ECONOMY,17:30:00,18:20:00,0,NONE,1H 50M,1751671.73
1,BOOKING.COM,2023-08-09,SIN,CGK,QG527,ECONOMY,21:00:00,21:50:00,0,NONE,1H 50M,2108206.69
1,BOOKING.COM,2023-08-09,SIN,CGK,QG523,ECONOMY,09:55:00,10:35:00,0,NONE,1H 40M,2526747.72
1,BOOKING.COM,2023-08-09,SIN,CGK,QZ275,ECONOMY,07:50:00,09:00:00,0,NONE,2H 10M,2092705.17
1,BOOKING.COM,2023-08-09,SIN,CGK,SQ950,ECONOMY,06:20:00,07:05:00,0,NONE,1H 45M,3007294.83
1,BOOKING.COM,2023-08-09,SIN,CGK,H15444,ECONOMY,09:55:00,10:35:00,0,NONE,1H 40M,3549848.02
1,BOOKING.COM,2023-08-09,SIN,CGK,SQ958,ECONOMY,12:30:00,13:15:00,0,NONE,1H 45M,3472340.43
1,BOOKING.COM,2023-08-09,SIN,CGK,GA829,ECONOMY,12:20:00,13:20:00,0,NONE,2H 00M,3208814.59
1,BOOKING.COM,2023-08-09,SIN,CGK,GA835,ECONOMY,17:40:00,18:40:00,0,NONE,2H 00M,3208814.59
1,BOOKING.COM,2023-08-09,SIN,CGK,H15598,ECONOMY,21:00:00,21:50:00,0,NONE,1H 50M,3549848.02
1,BOOKING.COM,2023-08-09,SIN,CGK,SQ968,ECONOMY,21:55:00,22:40:00,0,NONE,1H 45M,4014893.62
1,BOOKING.COM,2023-08-09,SIN,CGK,GA823,ECONOMY,07:25:00,08:25:00,0,NONE,2H 00M,3720364.74
1,BOOKING.COM,2023-08-09,SIN,CGK,GA837,ECONOMY,18:45:00,19:45:00,0,NONE,2H 00M,3720364.74
1,BOOKING.COM,2023-08-09,SIN,CGK,SQ958,ECONOMY,15:40:00,16:45:00,0,NONE,2H 05M,3720364.74
1,BOOKING.COM,2023-08-09,SIN,CGK,SQ962,ECONOMY,16:25:00,17:10:00,0,NONE,1H 45M,4510942.25
1,BOOKING.COM,2023-08-09,SIN,CGK,SQ964,ECONOMY,17:20:00,18:05:00,0,NONE,1H 45M,4510942.25
1,BOOKING.COM,2023-08-09,SIN,CGK,SQ956,ECONOMY,09:15:00,10:10:00,0,NONE,1H 55M,6231610.94
1,BOOKING.COM,2023-08-09,SIN,CGK,GA8950,ECONOMY,06:20:00,07:05:00,0,NONE,1H 45M,6712158.05
1,BOOKING.COM,2023-08-09,SIN,CGK,GA8958,ECONOMY,12:30:00,13:15:00,0,NONE,1H 45M,6712158.05
1,BOOKING.COM,2023-08-09,SIN,CGK,GA8962,ECONOMY,16:25:00,17:10:00,0,NONE,1H 45M,8758358.66
1,BOOKING.COM,2023-08-09,SIN,CGK,SQ962,ECONOMY,17:20:00,18:05:00,0,NONE,1H 45M,8758358.66
1,BOOKING.COM,2023-08-09,SIN,CGK,SQ964,ECONOMY,21:55:00,22:40:00,0,NONE,1H 45M,8758358.66
1,BOOKING.COM,2023-08-09,CGK,JFK,"EK357, EK203",ECONOMY,17:40:00,08:50:00,1,"CGK, DXB, JFK",26H 10M,21593617.02
1,BOOKING.COM,2023-08-09,CGK,JFK,"QZ200, MH9052, MH9327",ECONOMY,05:00:00,22:30:00,2,"CGK, KUL, DOH, JFK",28H 30M,18477811.55
1,BOOKING.COM,2023-08-09,CGK,JFK,"AK354, MH164, MH9065",ECONOMY,21:15:00,15:20:00,2,"CGK, KUL, DOH, JFK",29H 05M,18663829.79
1,BOOKING.COM,2023-08-09,CGK,JFK,"MH726, MH9052, MH9327",ECONOMY,04:15:00,22:30:00,2,"CGK, KUL, DOH, JFK",29H 15M,19113373.86
1,BOOKING.COM,2023-08-09,CGK,JFK,"EK359, EK201",ECONOMY,00:40:00,14:25:00,1,"CGK, DOH, JFK",24H 45M,24337386.02
1,BOOKING.COM,2023-08-09,CGK,JFK,"MH722, MH164, MH9065",ECONOMY,18:25:00,15:20:00,2,"CGK, KUL, DOH, JFK",31H 55M,19113373.86
1,BOOKING.COM,2023-08-09,CGK,JFK,"EK359, EK201",ECONOMY,09:15:00,22:50:00,1,"CGK, DXB, JFK",24H 35M,25841033.43
1,BOOKING.COM,2023-08-09,CGK,JFK,"MH710, EK347, EK203",ECONOMY,11:10:00,08:50:00,2,"CGK, KUL, DXB, JFK",32H 40M,18896352.58
1,BOOKING.COM,2023-08-09,CGK,JFK,"8B677, MH164, MH9065",ECONOMY,16:50:00,15:20:00,2,"CGK, KUL, DOH, JFK",33H 30M,18710334.35
1,BOOKING.COM,2023-08-09,CGK,JFK,"AK385, MH164, MH9065",ECONOMY,14:50:00,15:20:00,2,"CGK, KUL, DOH, JFK",35H 30M,18663829.79
1,BOOKING.COM,2023-08-09,CGK,JFK,"HY542, HY101",ECONOMY,21:00:00,10:55:00,1,"CGK, TAS, JFK",24H 55M,27044680.85
1,BOOKING.COM,2023-08-09,CGK,JFK,"QZ200, MH9052, MH9327",ECONOMY,16:05:00,14:25:00,2,"CGK, KUL, DOH, JFK",33H 20M,19919452.89
1,BOOKING.COM,2023-08-09,CGK,JFK,"EK359, EK205",ECONOMY,00:40:00,18:55:00,1,"CGK, DXB, JFK",29H 15M,24337386.02
1,BOOKING.COM,2023-08-09,CGK,JFK,"EK357, EK11, Z0701",ECONOMY,17:40:00,15:50:00,2,"CGK, DXB, LGW, JFK",33H 10M,20555015.2
1,BOOKING.COM,2023-08-09,CGK,JFK,"TK57, TK1981, Z0701",ECONOMY,21:00:00,15:50:00,2,"CGK, IST, LGW, JFK",29H 50M,22368693.01
1,BOOKING.COM,2023-08-09,CGK,JFK,"QR959, QR705",ECONOMY,09:05:00,22:30:00,1,"CGK, DOH, JFK",24H 25M,28941337.39
1,BOOKING.COM,2023-08-09,CGK,JFK,"AA8153, AA8131",ECONOMY,09:05:00,22:30:00,1,"CGK, DOH, JFK",24H 25M,29034346.5
1,BOOKING.COM,2023-08-09,CGK,JFK,"QR959, QR705",ECONOMY,17:40:00,18:55:00,1,"CGK, DOH, JFK",36H 15M,21593617.02
1,BOOKING.COM,2023-08-09,CGK,JFK,"AA8153, AA8131",ECONOMY,18:25:00,18:55:00,2,"CGK, IST, LGW",35H 30M,19919452.89
1,BOOKING.COM,2023-08-09,CGK,JFK,"AA8152, AA121",ECONOMY,18:45:00,08:50:00,1,"CGK, DOH, JFK",25H 05M,29034346.5
1,BOOKING.COM,2023-08-09,CGK,JFK,"MH722, EK343, EK205",ECONOMY,17:40:00,14:25:00,1,"CGK, KUL, DXB, JFK",31H 45M,24337386.02
1,BOOKING.COM,2023-08-09,CGK,JFK,"EK357, EK201",ECONOMY,01:10:00,15:20:00,1,"CGK, DXB, JFK",25H 10M,29034346.5
1,BOOKING.COM,2023-08-09,CGK,JFK,"MH726, EK345, EK203",ECONOMY,04:15:00,08:50:00,2,"CGK, KUL, DXB, JFK",39H 35M,18896352.58
1,BOOKING.COM,2023-08-09,CGK,JFK,"MH726, EK347, EK203",ECONOMY,04:15:00,08:50:00,2,"CGK, KUL, DXB, JFK",39H 35M,18896352.58
1,BOOKING.COM,2023-08-09,CGK,JFK,"MH722, MH164, MH9327",ECONOMY,18:25:00,22:30:00,2,"CGK, KUL, DOH, JFK",39H 05M,19113373.86
1,BOOKING.COM,2023-08-09,CGK,JFK,"MH710, MH160, MH9065",ECONOMY,11:10:00,15:20:00,2,"CGK, KUL, DOH, JFK",39H 10M,19113373.86
1,BOOKING.COM,2023-08-09,CGK,JFK,"TK57, TK1873, NO787",ECONOMY,21:00:00,14:50:00,2,"CGK, KUL, DOH, JFK",28H 50M,24213373.86
1,BOOKING.COM,2023-08-09,CGK,JFK,"TK509, TK111",ECONOMY,09:15:00,04:30:00,1,"CGK, IST, JFK",30H 15M,25841033.43
1,BOOKING.COM,2023-08-09,CGK,JFK,"MH722, MH9052, MH9327",ECONOMY,18:25:00,22:30:00,2,"CGK, KUL, DOH, JFK",39H 05M,19423404.26
1,BOOKING.COM,2023-08-09,CGK,JFK,"MH720, EK343, EK205",ECONOMY,16:05:00,18:55:00,2,"CGK, KUL, DOH, JFK",37H 50M,19919452.89
1,BOOKING.COM,2023-08-09,CGK,JFK,"MH710, MH164, MH9065",ECONOMY,11:10:00,15:20:00,2,"CGK, KUL, DOH, JFK",39H 10M,19423404.26
1,BOOKING.COM,2023-08-09,CGK,JFK,"MH710, MH164, MH9065",ECONOMY,11:10:00,14:25:00,2,"CGK, KUL, DOH, JFK",38H 15M,19919452.89
1,BOOKING.COM,2023-08-09,CGK,JFK,"MH710, EK343, EK201",ECONOMY,11:10:00,14:25:00,2,"CGK, KUL, DXB, JFK",38H 15M,20229483.28
1,BOOKING.COM,2023-08-09,CGK,JFK,"MH710, EK347, EK201",ECONOMY,16:05:00,22:30:00,2,"CGK, KUL, DXB, JFK",41H 25M,19113373.86
