ID,JOB_ID,PLATFORM,DEPARTURE_DATE,DEPARTURE_AIRPORT,DESTINATION_AIRPORT,MARKETING_AIRLINE,FLIGHT_CODE,CABIN_CLASS,DEPARTURE_TIME,ARRIVAL_TIME,TRANSIT,ROUTES,FLIGHT_DURATION,RATES
6953,143,BOOKING.COM,2023-08-09,CGK,SIN,KL,KL838,BUSINESS,20:10:00,22:50:00,0,NONE,1H 40M,8147750.0
6954,143,BOOKING.COM,2023-08-09,CGK,SIN,KL,KL838,BUSINESS,05:25:00,08:10:00,0,NONE,1H 45M,8898200.0
6955,143,BOOKING.COM,2023-08-09,CGK,SIN,SQ,SQ953,BUSINESS,07:55:00,10:45:00,0,NONE,1H 50M,8898200.0
6956,143,BOOKING.COM,2023-08-09,CGK,SIN,SQ,SQ963,BUSINESS,18:05:00,20:55:00,0,NONE,1H 50M,8898200.0
6957,143,BOOKING.COM,2023-08-09,CGK,SIN,GA,GA828,BUSINESS,08:35:00,11:20:00,0,NONE,1H 45M,10506300.0
6958,143,BOOKING.COM,2023-08-09,CGK,SIN,GA,GA828,BUSINESS,11:45:00,14:30:00,0,NONE,1H 45M,10506300.0
6959,143,BOOKING.COM,2023-08-09,CGK,SIN,GA,GA832,BUSINESS,14:40:00,17:25:00,0,NONE,1H 45M,10506300.0
6960,143,BOOKING.COM,2023-08-09,CGK,SIN,GA,GA822,BUSINESS,18:40:00,21:25:00,0,NONE,1H 45M,10506300.0
6961,143,BOOKING.COM,2023-08-09,CGK,SIN,SQ,SQ965,BUSINESS,19:00:00,21:50:00,0,NONE,1H 50M,10628800.0
6962,143,BOOKING.COM,2023-08-09,CGK,SIN,SQ,SQ957,BUSINESS,11:15:00,14:05:00,0,NONE,1H 50M,12696400.0
6963,143,BOOKING.COM,2023-08-09,CGK,SIN,SQ,SQ957,BUSINESS,05:25:00,08:10:00,0,NONE,1H 45M,16372100.0
6964,143,BOOKING.COM,2023-08-09,CGK,SIN,GA,GA834,BUSINESS,13:40:00,16:35:00,0,NONE,1H 55M,15315300.0
6965,143,BOOKING.COM,2023-08-09,CGK,SIN,GA,GA8963,BUSINESS,18:05:00,20:55:00,0,NONE,1H 50M,16372100.0
6966,143,BOOKING.COM,2023-08-09,CGK,SIN,SQ,SQ959,BUSINESS,14:10:00,17:00:00,0,NONE,1H 50M,17291000.0
6967,143,BOOKING.COM,2023-08-09,CGK,SIN,SQ,SQ951,FIRST CLASS,05:25:00,08:10:00,0,NONE,1H 45M,18592800.0
6968,143,BOOKING.COM,2023-08-09,CGK,SIN,SQ,SQ953,FIRST CLASS,07:55:00,10:45:00,0,NONE,1H 50M,18592800.0
6969,143,BOOKING.COM,2023-08-09,CGK,SIN,SQ,SQ965,FIRST CLASS,19:00:00,21:50:00,0,NONE,1H 50M,20185600.0
